"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"SOTT1CaseInfo","SOTT1CaseInfo","SOTT1CaseInfo","","","",0,*,"","","","null {[]} {[]}
","Surveillance & Outbreak Toolkit T1  Case Information","Base definition for all elements that are defined inside a resource - but not those in a data type.","","","","","","","","","",,,,,"",,,,"BackboneElement",0,*,"ele-1
",""
"SOTT1ClinicalRespiratory","SOTT1ClinicalRespiratory.expectoration","SOTT1ClinicalRespiratory.expectoration","","","",0,1,"","","","code {[]} {[]}
","Productive cough (expectoration)","When coughing the patient produces phlegm or mucus/sputum or bloody sputum","","","","","","","","","",,"required","","http://ritikarawlani.github.io/smart-outbreak-measles/ValueSet/YesNoUnknown","",,,,"SOTT1ClinicalRespiratory.expectoration",0,1,"",""
"SOTT1ClinicalRespiratory","SOTT1ClinicalRespiratory.shortBreath","SOTT1ClinicalRespiratory.shortBreath","","","",0,1,"","","","code {[]} {[]}
","Shortness of breath","Difficulty breathing (dyspnoea), abnormal shortness of breath or intense tightening of the chest while resting or during light physical activity (e.g. normal walking), noisy respiration","","","","","","","","","",,"required","","http://ritikarawlani.github.io/smart-outbreak-measles/ValueSet/YesNoUnknown","",,,,"SOTT1ClinicalRespiratory.shortBreath",0,1,"",""
"SOTT1ClinicalRespiratory","SOTT1ClinicalRespiratory.respiratoryDistress","SOTT1ClinicalRespiratory.respiratoryDistress","","","",0,1,"","","","code {[]} {[]}
","Respiratory distress","Include following signs: increased breath rate, lower chest wall indrawing, throacic retraction, flapping of the wings of the nose","","","","","","","","","",,"required","","http://ritikarawlani.github.io/smart-outbreak-measles/ValueSet/YesNoUnknown","",,,,"SOTT1ClinicalRespiratory.respiratoryDistress",0,1,"",""
"SOTT1ClinicalRespiratory","SOTT1ClinicalRespiratory.cyanosis","SOTT1ClinicalRespiratory.cyanosis","","","",0,1,"","","","code {[]} {[]}
","Cyanosis","Blue coloration of nail, of lips","","","","","","","","","",,"required","","http://ritikarawlani.github.io/smart-outbreak-measles/ValueSet/YesNoUnknown","",,,,"SOTT1ClinicalRespiratory.cyanosis",0,1,"",""
"SOTT1ClinicalRespiratory","SOTT1ClinicalRespiratory.auscultation","SOTT1ClinicalRespiratory.auscultation","","","",0,1,"","","","code {[]} {[]}
","Abnormal auscultation","Result of stethoscop auscultation of the lungs, (precise if murur or other/localised or global signs)","","","","","","","","","",,"required","","http://ritikarawlani.github.io/smart-outbreak-measles/ValueSet/YesNoUnknown","",,,,"SOTT1ClinicalRespiratory.auscultation",0,1,"",""
"SOTT1ClinicalRespiratory","SOTT1ClinicalRespiratory.pneumonia","SOTT1ClinicalRespiratory.pneumonia","","","",0,1,"","","","code {[]} {[]}
","pneumonia","signs evocating pneumonia of viral or bacterial origin","","","","","","","","","",,"required","","http://ritikarawlani.github.io/smart-outbreak-measles/ValueSet/YesNoUnknown","",,,,"SOTT1ClinicalRespiratory.pneumonia",0,1,"",""
"SOTT1ClinicalRespiratory","SOTT1ClinicalRespiratory.pneumothorax","SOTT1ClinicalRespiratory.pneumothorax","","","",0,1,"","","","code {[]} {[]}
","pneumothorax","Colapsed lungs on auscultation","","","","","","","","","",,"required","","http://ritikarawlani.github.io/smart-outbreak-measles/ValueSet/YesNoUnknown","",,,,"SOTT1ClinicalRespiratory.pneumothorax",0,1,"",""
"SOTT1ClinicalRespiratory","SOTT1ClinicalRespiratory.otherRespSigns","SOTT1ClinicalRespiratory.otherRespSigns","","","",0,1,"","","","string {[]} {[]}
","Other respiratory signs:","Describe respiratory signs not reported above","","","","","","","","","",,,,,"",,,,"SOTT1ClinicalRespiratory.otherRespSigns",0,1,"",""
"SOTT1Exposure","SOTT1Exposure","SOTT1Exposure","","","",0,*,"","","","null {[]} {[]}
","Surveillance & Outbreak Toolkit T1  Exposure","Base definition for all elements that are defined inside a resource - but not those in a data type.","","","","","","","","","",,,,,"",,,,"BackboneElement",0,*,"ele-1
",""
"SOTT1Exposure","SOTT1Exposure.id","SOTT1Exposure.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"SOTT1Exposure","SOTT1Exposure.extension","SOTT1Exposure.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"SOTT1Exposure","SOTT1Exposure.modifierExtension","SOTT1Exposure.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"SOTT1Exposure","SOTT1Exposure.contacts","SOTT1Exposure.contacts","","","",0,1,"","","","http://ritikarawlani.github.io/smart-outbreak-measles/StructureDefinition/SOTT1ExposureContacts {[]} {[]}
","Contacts Exposed","Contacts Exposed","","","","","","","","","",,,,,"",,,,"SOTT1Exposure.contacts",0,1,"",""
"SOTT1Exposure","SOTT1Exposure.massGatheringParticipation","SOTT1Exposure.massGatheringParticipation","","","",0,1,"","","","http://ritikarawlani.github.io/smart-outbreak-measles/StructureDefinition/SOTT1ExposureMassGathering {[]} {[]}
","Mass Gathering Participation","Mass Gathering Participation","","","","","","","","","",,,,,"",,,,"SOTT1Exposure.massGatheringParticipation",0,1,"",""
"SOTT1Exposure","SOTT1Exposure.travelHistory","SOTT1Exposure.travelHistory","","","",0,1,"","","","http://ritikarawlani.github.io/smart-outbreak-measles/StructureDefinition/SOTT1ExposureTravelHistory {[]} {[]}
","Travel History","Travel History","","","","","","","","","",,,,,"",,,,"SOTT1Exposure.travelHistory",0,1,"",""
"SOTT1Exposure","SOTT1Exposure.nosocomial","SOTT1Exposure.nosocomial","","","",0,1,"","","","http://ritikarawlani.github.io/smart-outbreak-measles/StructureDefinition/SOTT1ExposureNosocomial {[]} {[]}
","Nosocomial","Nosocomial","","","","","","","","","",,,,,"",,,,"SOTT1Exposure.nosocomial",0,1,"",""
"SOTT1Exposure","SOTT1Exposure.animal","SOTT1Exposure.animal","","","",0,1,"","","","http://ritikarawlani.github.io/smart-outbreak-measles/StructureDefinition/SOTT1ExposureAnimal {[]} {[]}
","Animal","Animal","","","","","","","","","",,,,,"",,,,"SOTT1Exposure.animal",0,1,"",""
"SOTT1Exposure","SOTT1Exposure.insect","SOTT1Exposure.insect","","","",0,1,"","","","http://ritikarawlani.github.io/smart-outbreak-measles/StructureDefinition/SOTT1ExposureInsect {[]} {[]}
","Insect","Insect","","","","","","","","","",,,,,"",,,,"SOTT1Exposure.insect",0,1,"",""
"SOTT1Exposure","SOTT1Exposure.waterAndFood","SOTT1Exposure.waterAndFood","","","",0,1,"","","","http://ritikarawlani.github.io/smart-outbreak-measles/StructureDefinition/SOTT1ExposureWaterFood {[]} {[]}
","Water and Food","Water and Food","","","","","","","","","",,,,,"",,,,"SOTT1Exposure.waterAndFood",0,1,"",""
"SOTT1Exposure","SOTT1Exposure.chemical","SOTT1Exposure.chemical","","","",0,1,"","","","http://ritikarawlani.github.io/smart-outbreak-measles/StructureDefinition/SOTT1ExposureChemical {[]} {[]}
","Chemical","Chemical","","","","","","","","","",,,,,"",,,,"SOTT1Exposure.chemical",0,1,"",""
"SOTT1Exposure","SOTT1Exposure.personalAssumption","SOTT1Exposure.personalAssumption","","","",0,1,"","","","http://ritikarawlani.github.io/smart-outbreak-measles/StructureDefinition/SOTT1ExposurePersonalAssumption {[]} {[]}
","Personal Assumption","Personal Assumption","","","","","","","","","",,,,,"",,,,"SOTT1Exposure.personalAssumption",0,1,"",""
"SOTMeaslesVaccinationStatus","SOTMeaslesVaccinationStatus","SOTMeaslesVaccinationStatus","","","",0,*,"","","","null {[]} {[]}
","Surveillance & Outbreak Toolkit Measles- Vaccination Statuss","Base definition for all elements that are defined inside a resource - but not those in a data type.","","","","","","","","","",,,,,"",,,,"BackboneElement",0,*,"ele-1
",""
"SOTMeaslesVaccinationStatus","SOTMeaslesVaccinationStatus.id","SOTMeaslesVaccinationStatus.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"SOTMeaslesVaccinationStatus","SOTMeaslesVaccinationStatus.extension","SOTMeaslesVaccinationStatus.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"SOTMeaslesVaccinationStatus","SOTMeaslesVaccinationStatus.modifierExtension","SOTMeaslesVaccinationStatus.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"SOTMeaslesVaccinationStatus","SOTMeaslesVaccinationStatus.VaccineType","SOTMeaslesVaccinationStatus.VaccineType","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Type of Vaccine","Type of Vaccine","","","","","","","","","",,,,,"",,,,"SOTMeaslesVaccinationStatus.VaccineType",1,1,"",""
"SOTMeaslesVaccinationStatus","SOTMeaslesVaccinationStatus.NumberOfDoses","SOTMeaslesVaccinationStatus.NumberOfDoses","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Number of doses received","Number of doses received","","","","","","","","","",,,,,"",,,,"SOTMeaslesVaccinationStatus.NumberOfDoses",1,1,"",""
"SOTMeaslesVaccinationStatus","SOTMeaslesVaccinationStatus.Source","SOTMeaslesVaccinationStatus.Source","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Source of vaccination information","Source of vaccination information","","","","","","","","","",,,,,"",,,,"SOTMeaslesVaccinationStatus.Source",1,1,"",""
"SOTMeaslesClassification","SOTMeaslesClassification","SOTMeaslesClassification","","","",0,*,"","","","null {[]} {[]}
","Surveillance & Outbreak Toolkit Measles- Classification","Base definition for all elements that are defined inside a resource - but not those in a data type.","","","","","","","","","",,,,,"",,,,"BackboneElement",0,*,"ele-1
",""
"SOTMeaslesClassification","SOTMeaslesClassification.id","SOTMeaslesClassification.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"SOTMeaslesClassification","SOTMeaslesClassification.extension","SOTMeaslesClassification.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"SOTMeaslesClassification","SOTMeaslesClassification.modifierExtension","SOTMeaslesClassification.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"SOTMeaslesClassification","SOTMeaslesClassification.FinalClassification","SOTMeaslesClassification.FinalClassification","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Final Case Classification","Final Case Classification","","","","","","","","","",,,,,"",,,,"SOTMeaslesClassification.FinalClassification",0,1,"",""
"SOTMeaslesClassification","SOTMeaslesClassification.Source","SOTMeaslesClassification.Source","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Source","Source","","","","","","","","","",,,,,"",,,,"SOTMeaslesClassification.Source",0,1,"",""
"SOTMeaslesDemographic","SOTMeaslesDemographic","SOTMeaslesDemographic","","","",0,*,"","","","null {[]} {[]}
","Surveillance & Outbreak Toolkit Measles- Demographics","Base definition for all elements that are defined inside a resource - but not those in a data type.","","","","","","","","","",,,,,"",,,,"BackboneElement",0,*,"ele-1
",""
"SOTMeaslesDemographic","SOTMeaslesDemographic.id","SOTMeaslesDemographic.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"SOTMeaslesDemographic","SOTMeaslesDemographic.extension","SOTMeaslesDemographic.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"SOTMeaslesDemographic","SOTMeaslesDemographic.modifierExtension","SOTMeaslesDemographic.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"SOTMeaslesDemographic","SOTMeaslesDemographic.UniqueId","SOTMeaslesDemographic.UniqueId","","","",1,1,"","","","id {[]} {[]}
","Unique identification","Generated for new clients or a universal ID, if used in the country","","","","","","","","","",,,,,"",,,,"SOTMeaslesDemographic.UniqueId",1,1,"",""
"SOTMeaslesDemographic","SOTMeaslesDemographic.Name","SOTMeaslesDemographic.Name","","","",0,1,"","","","HumanName {[]} {[]}
","Client's name","Client's full name","","","","","","","","","",,,,,"",,,,"SOTMeaslesDemographic.Name",0,1,"",""
"SOTMeaslesDemographic","SOTMeaslesDemographic.DateOfBirth","SOTMeaslesDemographic.DateOfBirth","","","",0,1,"","","","date {[]} {[]}
","Date of birth","The client's date of birth (DOB), if known","","","","","","","","","",,,,,"",,,,"SOTMeaslesDemographic.DateOfBirth",0,1,"",""
"SOTMeaslesDemographic","SOTMeaslesDemographic.Age","SOTMeaslesDemographic.Age","","","",0,1,"","","","Quantity {[]} {[]}
","Age (number of years)","Age of the client if date of birth is not known","","","","","","","","","",,,,,"",,,,"SOTMeaslesDemographic.Age",0,1,"",""
"SOTMeaslesDemographic","SOTMeaslesDemographic.Sex","SOTMeaslesDemographic.Sex","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Sex at birth","Assigned sex at birth of the client","","","","","","","","","",,,,,"",,,,"SOTMeaslesDemographic.Sex",1,1,"",""
"SOTMeaslesDemographic","SOTMeaslesDemographic.Ethnicity","SOTMeaslesDemographic.Ethnicity","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Race/Ethnicity","Client's race and/or ethnicity, if appropriate in country setting","","","","","","","","","",,,,,"",,,,"SOTMeaslesDemographic.Ethnicity",0,1,"",""
"SOTMeaslesDemographic","SOTMeaslesDemographic.PlaceOfResidence","SOTMeaslesDemographic.PlaceOfResidence","","","",1,1,"","","","Address {[]} {[]}
","Client's address (city, district, and province)","Client's home address or address that the client is consenting to disclose","","","","","","","","","",,,,,"",,,,"SOTMeaslesDemographic.PlaceOfResidence",1,1,"",""
"SOTMeaslesDemographic","SOTMeaslesDemographic.CountryofBirth","SOTMeaslesDemographic.CountryofBirth","","","",1,1,"","","","string {[]} {[]}
","Country of birth","Country of birth","","","","","","","","","",,,,,"",,,,"SOTMeaslesDemographic.CountryofBirth",1,1,"",""
"SOTMeaslesDemographic","SOTMeaslesDemographic.Landmark","SOTMeaslesDemographic.Landmark","","","",0,1,"","","","string {[]} {[]}
","Landmark","A landmark to locate the house","","","","","","","","","",,,,,"",,,,"SOTMeaslesDemographic.Landmark",0,1,"",""
"SOTMeaslesDemographic","SOTMeaslesDemographic.LocalityType","SOTMeaslesDemographic.LocalityType","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Type of locality","Type of Locality","","","","","","","","","",,,,,"",,,,"SOTMeaslesDemographic.LocalityType",1,1,"",""
"SOTMeaslesDemographic","SOTMeaslesDemographic.Guardian","SOTMeaslesDemographic.Guardian","","","",0,1,"","","","HumanName {[]} {[]}
","Name of mother/Guardian","Name of mother/Guardian","","","","","","","","","",,,,,"",,,,"SOTMeaslesDemographic.Guardian",0,1,"",""
"SOTMeaslesDemographic","SOTMeaslesDemographic.Telephone","SOTMeaslesDemographic.Telephone","","","",0,1,"","","","ContactPoint {[]} {[]}
","Telephone","Telephone","","","","","","","","","",,,,,"",,,,"SOTMeaslesDemographic.Telephone",0,1,"",""
"SOTMeaslesDemographic","SOTMeaslesDemographic.Occupation","SOTMeaslesDemographic.Occupation","","","",0,1,"","","","string {[]} {[]}
","Occupation","Occupation","","","","","","","","","",,,,,"",,,,"SOTMeaslesDemographic.Occupation",0,1,"",""
"SOTMeaslesDemographic","SOTMeaslesDemographic.WorkAddress","SOTMeaslesDemographic.WorkAddress","","","",0,1,"","","","Address {[]} {[]}
","Work or school address","Work or school address","","","","","","","","","",,,,,"",,,,"SOTMeaslesDemographic.WorkAddress",0,1,"",""
"SOTMeaslesDemographic","SOTMeaslesDemographic.PlaceOfInfection","SOTMeaslesDemographic.PlaceOfInfection","","","",0,1,"","","","string {[]} {[]}
","Place of infection","Place of infection","","","","","","","","","",,,,,"",,,,"SOTMeaslesDemographic.PlaceOfInfection",0,1,"",""
"SOTT1ExposurePersonalAssumption","SOTT1ExposurePersonalAssumption","SOTT1ExposurePersonalAssumption","","","",0,*,"","","","null {[]} {[]}
","Surveillance & Outbreak Toolkit T1  Exposure - Personal Assumption","Base definition for all elements that are defined inside a resource - but not those in a data type.","","","","","","","","","",,,,,"",,,,"BackboneElement",0,*,"ele-1
",""
"SOTT1ExposurePersonalAssumption","SOTT1ExposurePersonalAssumption.id","SOTT1ExposurePersonalAssumption.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"SOTT1ExposurePersonalAssumption","SOTT1ExposurePersonalAssumption.extension","SOTT1ExposurePersonalAssumption.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"SOTT1ExposurePersonalAssumption","SOTT1ExposurePersonalAssumption.modifierExtension","SOTT1ExposurePersonalAssumption.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"SOTT1ExposurePersonalAssumption","SOTT1ExposurePersonalAssumption.additionalInformation","SOTT1ExposurePersonalAssumption.additionalInformation","","","",0,1,"","","","string {[]} {[]}
","Any additional information to share regarding chemical exposure","Specify any additional information to share about a possible chemical exposure","","","","","","","","","",,,,,"",,,,"SOTT1ExposurePersonalAssumption.additionalInformation",0,1,"",""
"SOTT1ExposurePersonalAssumption","SOTT1ExposurePersonalAssumption.source","SOTT1ExposurePersonalAssumption.source","","","",0,1,"","","","string {[]} {[]}
","What (and why?) does the patient think might be the source of this disease or facilitating its spread","What (and why?) does the patient think might be the source of this disease or facilitating its spread","","","","","","","","","",,,,,"",,,,"SOTT1ExposurePersonalAssumption.source",0,1,"",""
"SOTT1ExposurePersonalAssumption","SOTT1ExposurePersonalAssumption.time","SOTT1ExposurePersonalAssumption.time","","","",0,1,"","","","string {[]} {[]}
","For how long does the patient think this event has been going on in the community","For how long does the patient think this event has been going on in the community","","","","","","","","","",,,,,"",,,,"SOTT1ExposurePersonalAssumption.time",0,1,"",""
"SOTT1ExposurePersonalAssumption","SOTT1ExposurePersonalAssumption.previousEvent","SOTT1ExposurePersonalAssumption.previousEvent","","","",0,1,"","","","code {[]} {[]}
","Does the patient know about any similar outbreak or event that happened previously","Does the patient know about any similar outbreak or event that happened previously","","","","","","","","","",,"required","","http://ritikarawlani.github.io/smart-outbreak-measles/ValueSet/YesNoUnknown","",,,,"SOTT1ExposurePersonalAssumption.previousEvent",0,1,"",""
